id,jokeText,jokeType
63,"What do you get when you cross a snowman and a vampire? Frostbite!",Wordplay
64,"Why did the golfer bring two pairs of pants? In case he got a hole in one!",Sports
65,"Why are ghosts bad at lying? Because you can see right through them!",Wordplay
66,"Why can't you give Elsa a balloon? Because she will let it go.",Movies
67,"I'm reading a book about anti-gravity. It's impossible to put down!",Science
68,"I told my wife she was drawing her eyebrows too high. She looked surprised.",Puns
69,"What did one ocean say to the other ocean? Nothing, they just waved.",Wordplay
70,"Why do we never tell secrets on a farm? Because the potatoes have eyes and the corn has ears.",Wordplay
71,"How do you organize a space party? You planet!",Science
72,"Why don't some couples go to the gym? Because some relationships don't work out.",Puns
73,"Parallel lines have so much in common. It's a shame they'll never meet.",Math
74,"What do you call fake spaghetti? An impasta!",Food
75,"Why did the tomato turn red? Because it saw the salad dressing!",Food
76,"What do you get when you cross a snowman and a vampire? Frostbite!",Wordplay
77,"Why did the golfer bring two pairs of pants? In case he got a hole in one!",Sports
78,"Why are ghosts bad at lying? Because you can see right through them!",Wordplay
79,"Why can't you give Elsa a balloon? Because she will let it go.",Movies
80,"I'm reading a book about anti-gravity. It's impossible to put down!",Science
81,"I told my wife she was drawing her eyebrows too high. She looked surprised.",Puns
82,"What did one ocean say to the other ocean? Nothing, they just waved.",Wordplay
83,"Why do we never tell secrets on a farm? Because the potatoes have eyes and the corn has ears.",Wordplay
84,"How do you organize a space party? You planet!",Science
85,"Why don't some couples go to the gym? Because some relationships don't work out.",Puns
86,"Parallel lines have so much in common. It's a shame they'll never meet.",Math
87,"What do you call fake spaghetti? An impasta!",Food
88,"Why did the tomato turn red? Because it saw the salad dressing!",Food
89,"What do you get when you cross a snowman and a vampire? Frostbite!",Wordplay
90,"Why did the golfer bring two pairs of pants? In case he got a hole in one!",Sports
91,"Why are ghosts bad at lying? Because you can see right through them!",Wordplay
92,"Why can't you give Elsa a balloon? Because she will let it go.",Movies
93,"I'm reading a book about anti-gravity. It's impossible to put down!",Science
94,"I told my wife she was drawing her eyebrows too high. She looked surprised.",Puns
95,"What did one ocean say to the other ocean? Nothing, they just waved.",Wordplay
96,"Why do we never tell secrets on a farm? Because the potatoes have eyes and the corn has ears.",Wordplay
97,"How do you organize a space party? You planet!",Science
98,"Why don't some couples go to the gym? Because some relationships don't work out.",Puns
99,"Parallel lines have so much in common. It's a shame they'll never meet.",Math
100,"What do you call fake spaghetti? An impasta!",Food
